pin_name	x	y
soc_242	1661.99572	5949.11058
soc_244	1348.39572	5949.11058
soc_249	3700.39572	5787.6693
soc_251	3386.79572	5787.6693
soc_253	3073.19572	5787.6693
soc_255	2759.59572	5787.6693
soc_257	2445.99572	5787.6693
soc_259	2132.39572	5787.6693
soc_261	1818.79572	5787.6693
soc_263	1505.19572	5787.6693
soc_270	3543.59572	5626.22802
soc_272	3229.99572	5626.22802
soc_274	2916.39572	5626.22802
soc_276	2602.79572	5626.22802
soc_278	2289.19572	5626.22802
soc_280	1975.59572	5626.22802
soc_282	1661.99572	5626.22802
soc_284	1348.39572	5626.22802
soc_289	3700.39572	5464.78674
soc_291	3386.79572	5464.78674
soc_293	3073.19572	5464.78674
soc_295	2759.59572	5464.78674
soc_297	2445.99572	5464.78674
soc_299	2132.39572	5464.78674
soc_301	1818.79572	5464.78674
soc_303	1505.19572	5464.78674
soc_310	3543.59572	5303.34546
soc_312	3229.99572	5303.34546
soc_314	2916.39572	5303.34546
soc_316	2602.79572	5303.34546
soc_318	2289.19572	5303.34546
soc_320	1975.59572	5303.34546
soc_322	1661.99572	5303.34546
soc_324	1348.39572	5303.34546
soc_329	3700.39572	5141.90418
soc_331	3386.79572	5141.90418
soc_333	3073.19572	5141.90418
soc_335	2759.59572	5141.90418
soc_337	2445.99572	5141.90418
soc_339	2132.39572	5141.90418
soc_341	1818.79572	5141.90418
soc_343	1505.19572	5141.90418
soc_350	3543.59572	4980.4629
soc_352	3229.99572	4980.4629
soc_354	2916.39572	4980.4629
soc_356	2602.79572	4980.4629
soc_358	2289.19572	4980.4629
soc_360	1975.59572	4980.4629
soc_362	1661.99572	4980.4629
soc_364	1348.39572	4980.4629
soc_369	3700.39572	4819.02162
soc_371	3386.79572	4819.02162
soc_373	3073.19572	4819.02162
soc_375	2759.59572	4819.02162
soc_377	2445.99572	4819.02162
soc_379	2132.39572	4819.02162
soc_381	1818.79572	4819.02162
soc_383	1505.19572	4819.02162
soc_393	3073.19572	4657.58034
soc_395	2759.59572	4657.58034
soc_397	2445.99572	4657.58034
soc_399	2132.39572	4657.58034
soc_401	1818.79572	4657.58034
soc_403	1505.19572	4657.58034
soc_410	3543.59572	4496.13906
soc_412	3229.99572	4496.13906
soc_414	2916.39572	4496.13906
soc_416	2602.79572	4496.13906
soc_418	2289.19572	4496.13906
soc_420	1975.59572	4496.13906
soc_422	1661.99572	4496.13906
soc_424	1348.39572	4496.13906
soc_433	3073.19572	4334.69778
soc_435	2759.59572	4334.69778
soc_437	2445.99572	4334.69778
soc_439	2132.39572	4334.69778
soc_441	1818.79572	4334.69778
soc_443	1505.19572	4334.69778
soc_452	3229.99572	4173.2565
soc_454	2916.39572	4173.2565
soc_456	2602.79572	4173.2565
soc_458	2289.19572	4173.2565
soc_460	1975.59572	4173.2565
soc_462	1661.99572	4173.2565
soc_464	1348.39572	4173.2565
