Frequency_GHz,S21_Magnitude_dB,S21_Phase_deg
5.661954,-0.0149,-5.4367
5.669961,-0.0149,-5.4444
5.677968,-0.015,-5.452
5.685975,-0.015,-5.4597
5.693982,-0.0151,-5.4674
5.701989,-0.0151,-5.4751
5.709996,-0.0152,-5.4827
5.718003,-0.0152,-5.4904
5.72601,-0.0152,-5.4981
5.734017,-0.0153,-5.5057
5.742024,-0.0153,-5.5134
5.750031,-0.0154,-5.5211
5.758038,-0.0154,-5.5287
5.766045,-0.0155,-5.5364
5.774052,-0.0155,-5.5441
5.782059,-0.0155,-5.5517
5.790066,-0.0156,-5.5594
5.798073,-0.0156,-5.5671
5.80608,-0.0157,-5.5747
5.814087,-0.0157,-5.5824
5.822094,-0.0158,-5.5901
5.830101,-0.0158,-5.5977
5.838108,-0.0158,-5.6054
5.846115,-0.0159,-5.6131
5.854122,-0.0159,-5.6207
5.862129,-0.016,-5.6284
5.870136,-0.016,-5.636
5.878143,-0.0161,-5.6437
5.88615,-0.0161,-5.6514
5.894157,-0.0161,-5.659
5.902164,-0.0162,-5.6667
5.910171,-0.0162,-5.6744
5.918178,-0.0163,-5.682
5.926185,-0.0163,-5.6897
5.934192,-0.0164,-5.6974
5.942199,-0.0164,-5.705
5.950206,-0.0165,-5.7127
5.958213,-0.0165,-5.7204
5.96622,-0.0165,-5.728
5.974227,-0.0166,-5.7357
5.982234,-0.0166,-5.7434
5.990241,-0.0167,-5.751
5.998248,-0.0167,-5.7587
6.006255,-0.0168,-5.7664
6.014262,-0.0168,-5.774
6.022269,-0.0168,-5.7817
6.030276,-0.0169,-5.7893
6.038283,-0.0169,-5.797
6.04629,-0.017,-5.8047
6.054297,-0.017,-5.8123
6.062304,-0.0171,-5.82
6.070311,-0.0171,-5.8277
6.078318,-0.0172,-5.8353
6.086325,-0.0172,-5.843
6.094332,-0.0173,-5.8506
6.102339,-0.0173,-5.8583
6.110346,-0.0173,-5.866
6.118353,-0.0174,-5.8736
6.12636,-0.0174,-5.8813
6.134367,-0.0175,-5.889
6.142374,-0.0175,-5.8966
6.150381,-0.0176,-5.9043
6.158388,-0.0176,-5.912
6.166395,-0.0177,-5.9196
6.174402,-0.0177,-5.9273
6.182409,-0.0178,-5.9349
6.190416,-0.0178,-5.9426
6.198423,-0.0178,-5.9503
6.20643,-0.0179,-5.9579
6.214437,-0.0179,-5.9656
6.222444,-0.018,-5.9732
6.230451,-0.018,-5.9809
6.238458,-0.0181,-5.9886
6.246465,-0.0181,-5.9962
6.254472,-0.0182,-6.0039
6.262479,-0.0182,-6.0116
6.270486,-0.0183,-6.0192
6.278493,-0.0183,-6.0269
6.286501,-0.0184,-6.0345
6.294508,-0.0184,-6.0422
6.302515,-0.0184,-6.0499
6.310522,-0.0185,-6.0575
6.318529,-0.0185,-6.0652
6.326536,-0.0186,-6.0728
6.334543,-0.0186,-6.0805
6.34255,-0.0187,-6.0882
6.350557,-0.0187,-6.0958
6.358564,-0.0188,-6.1035
6.366571,-0.0188,-6.1111
6.374578,-0.0189,-6.1188
6.382585,-0.0189,-6.1265
6.390592,-0.019,-6.1341
6.398599,-0.019,-6.1418
6.406606,-0.0191,-6.1494
6.414613,-0.0191,-6.1571
6.42262,-0.0191,-6.1648
6.430627,-0.0192,-6.1724
6.438634,-0.0192,-6.1801
6.446641,-0.0193,-6.1877
6.454648,-0.0193,-6.1954
6.462655,-0.0194,-6.203
6.470662,-0.0194,-6.2107
6.478669,-0.0195,-6.2184
6.486676,-0.0195,-6.226
